Session,Day,Turnover,Player_Name,Drill,Duration,Relative_distance,Z4_relative_distance,Z5_relative_distance,Z6_relative_distance,Relative_HSD,Relative_sprint_distance,Relative_accelerations,Relative_decelerations,Max_speed
1,MD-4,6,Beni,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,531,110,17,0,3.7,22,2.12,0.42,21.61
1,MD-4,6,Beni,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,483,113,26,0,5.8,36,1.99,0.22,24.11
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,430,58,2,0,0.56,0,1.33,1.67,20.58
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,460,108,3,0,0.94,0,1.0,1.33,20.86
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,379,35,1,0,0.37,0,1.67,3.66,20.27
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,415,66,0,0,0.0,0,0.0,2.0,19.13
1,MD-4,6,Beni,Tactical 11vs11 (68*78m),4.7,580,118,50,0,10.74,49,1.5,1.28,24.93
1,MD-4,6,Beni,Tactical 11vs11 (68*78m),4.5,598,136,76,15,20.06,116,0.66,0.66,29.31
1,MD-4,6,Don,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,421,28,1,0,0.13,0,2.22,0.22,20.29
1,MD-4,6,Don,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,548,114,28,2,6.39,44,1.27,0.64,26.55
1,MD-4,6,Don,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,505,129,31,9,8.98,55,1.55,0.44,27.08
1,MD-4,6,Don,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,474,75,21,3,8.0,25,1.33,2.0,26.71
1,MD-4,6,Don,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,416,34,19,2,7.01,21,2.0,2.67,25.58
1,MD-4,6,Don,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,443,78,14,0,4.59,13,0.67,2.67,22.07
1,MD-4,6,Don,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,413,75,2,0,0.58,0,4.0,3.0,21.39
1,MD-4,6,Don,Tactical 11vs11 (68*78m),4.7,602,127,54,17,15.27,74,2.14,1.5,30.05
1,MD-4,6,Don,Tactical 11vs11 (68*78m),4.5,583,150,88,0,19.38,99,1.76,1.76,25.13
1,MD-4,6,Zada,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,506,150,7,0,1.57,10,1.78,0.44,23.16
1,MD-4,6,Zada,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,425,115,32,0,6.72,62,1.48,0.64,24.42
1,MD-4,6,Zada,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,427,76,36,4,8.97,50,1.99,0.89,27.33
1,MD-4,6,Zada,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,411,70,34,0,11.47,39,2.0,3.0,24.37
1,MD-4,6,Zada,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,407,49,20,10,10.21,31,1.67,1.67,27.83
1,MD-4,6,Zada,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,406,87,25,11,12.11,49,2.33,0.67,28.65
